ref,dibbur,source_group,source_work,locus,source_raw,footnote,confidence,notes
Deut 7:12,והיה עקב תשמעון / ושמר ה',Tanchuma,Midrash Tanchuma,Ekev 1,תנחומא א,1,high,whole comment incl. both clauses
Deut 7:19,והזרע הנטויה — זו החרב,Sifrei,Sifrei Bamidbar,Shelach 115,ספרי שלח קטו,8,med,"Sifrei on Numbers, not Deut"
Deut 7:20,הצרעה,Talmud Bavli,Bavli Sotah,36a,סוטה לו א,9,med,
Deut 8:1,כל המצוה,Tanchuma,Midrash Tanchuma,Ekev 6,תנחומא ו,11,high,
Deut 9:18,ואתנפל — 40-day chronology,Seder Olam,Seder Olam Rabbah,ch. 6,סדר עולם,"20,22",med,
Deut 9:20,ובאהרן התאנף / להשמידו,Midrash Rabbah,Vayikra Rabbah,7:1,ויקרא רבה ז א,23,high,
Deut 10:1,ואעש ארון (Bezalel's ark),Tanchuma,Midrash Tanchuma,10,תנחומא י,26,high,multi-source comment
Deut 10:1,ואעש ארון (Bezalel's ark),Yerushalmi,Yerushalmi Shekalim,6:1,"ירושלמי שקלים פ""ו ה""א",27,high,same comment
Deut 10:1,ואעש ארון (Bezalel's ark),Seder Olam,Seder Olam Rabbah,ch. 6,"סדר עולם פ""ו",28,med,same comment
Deut 10:1,ואעש ארון (Bezalel's ark),Talmud Bavli,Bavli Berakhot,55a,ברכות נה א,29,med,same comment
Deut 10:6-7,ובני ישראל נסעו... מוסרה,Mekhilta,Mekhilta de-R. Yishmael,"Beshalach, Vayisa 1","מכילתא בשלח ויסע פ""א",31,high,
Deut 10:6-7,ובני ישראל נסעו... מוסרה,Tanchuma,Midrash Tanchuma,Chukat 18,תנחומא חקת יח,31,high,"same comment, second source"
Deut 10:10,ואנכי עמדתי בהר... כימים הראשונים,Seder Olam,Seder Olam Rabbah,ch. 6,"סדר עולם פ""ו",37,high,
Deut 10:18,עשה משפט יתום ואלמנה,Talmud Bavli,Bavli Megillah,31a,מגילה לא א,39,high,
Deut 10:18,ואהב גר — של יעקב,Other (tannaitic),R. Eliezer b. R. Yose,—,רבי אליעזר בר' יוסי,40,low,"names a sage, not a book; verify"
Deut 10:19,כי גרים הייתם / מום שבך,Talmud Bavli,Bavli Bava Metzia,59b,"ב""מ נט ב",41,high,
Deut 11:6,בקרב כל ישראל (Dathan & Abiram),Tanchuma,Midrash Tanchuma,Korach,"תנחומא קרח (ילקוט שמעוני, מדרש ילמדנו)",42,high,also cited via Yalkut/Yelamdenu
Deut 11:6,בקרב כל ישראל (Dathan & Abiram),Talmud Bavli,Bavli Sanhedrin,110a,סנהדרין קי א,43,high,same comment
Deut 11:10,לא כארץ מצרים הוא,Sifrei,Sifrei Devarim,37,ספרי לז,44,high,
Deut 11:10,ובמסכת כתובות דרשו,Talmud Bavli,Bavli Ketubot,112a,כתובות קיב א,47,high,
Deut 11:10,אשר יצאתם משם — רעמסס,Sifrei,Sifrei Devarim,38,ספרי לח,52,med,
Deut 11:12,אשר ה' אלהיך דרש אתה / תמיד עיני,Talmud Bavli,Bavli Rosh Hashanah,17b,"ר""ה יז ב","55,56",high,
Deut 11:13,ולעבדו — עבודה שבלב (תפלה),Sifrei/Talmud,Sifrei Devarim 41 / Taanit 2a,—,(footnote unclear in photo),?,low,VERIFY — needs cleaner image
Deut 11:18,ושמתם את דברי,Sifrei,Sifrei Devarim,46,ספרי מו,79,high,
Deut 11:19,ולמדתם... לדבר בם,Sifrei,Sifrei Devarim,47,ספרי מז,80,high,
Deut 11:22,שמר תשמרון,Sifrei,Sifrei Devarim,48,ספרי מח,81,high,
Deut 11:22,ללכת בכל דרכיו,Sifrei,Sifrei Devarim,49,ספרי מט,82,high,
Deut 11:22,ולדבקה בו,Sifrei,Sifrei Devarim,49,ספרי מט,83,med,
Deut 11:23,ועצמים מכם,Sifrei,Sifrei Devarim,50,ספרי נ,86,high,
Deut 11:25,לא יתיצב איש,Sifrei,Sifrei Devarim,52,ספרי נב,87,high,
Deut 11:25,ומוראכם,Sifrei,Sifrei Devarim,52 (ibid),ספרי שם,88,med,
